Team,Season,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm
ATL,1985,47,1186,521,69,125,194,136,43,33,85,127,428,201,149,114,15,4,714,17071,7590,997,1972,2969,1788,606,436,1128,1783,6253,2947,2048,1588,358,107
ATL,1986,46,1114,519,70,122,192,110,43,27,76,114,427,205,140,102,21,6,706,16510,7353,1028,1992,3020,1553,603,458,1009,1716,6081,2885,1917,1459,402,124
ATL,1987,40,902,403,60,103,163,93,33,19,59,98,323,155,117,87,18,5,698,15653,6722,997,1954,2952,1428,532,444,967,1679,5512,2616,1788,1361,408,128
ATL,1988,42,1048,548,73,121,195,133,37,23,78,102,424,199,181,144,17,4,675,16064,7511,802,1657,2459,1877,639,327,1132,1635,6030,2834,2173,1697,481,144
ATL,1989,43,1095,525,74,123,197,121,40,23,75,100,413,197,157,124,21,6,603,14611,6655,806,1664,2471,1529,531,270,984,1432,5457,2577,1752,1357,434,142
ATL,1990,45,1155,551,82,137,220,111,44,23,73,99,427,205,168,133,26,7,572,14448,6806,881,1822,2703,1463,533,245,971,1348,5429,2568,2000,1541,409,127
ATL,1991,37,909,399,62,118,181,76,33,21,51,91,331,157,99,75,26,8,510,12581,5604,814,1550,2364,1177,508,237,788,1154,4640,2202,1470,1107,294,92
ATL,1992,49,1220,511,82,158,241,112,46,28,71,114,448,205,118,89,37,11,538,12343,5380,874,1629,2504,977,459,270,751,1173,4586,2107,1362,1014,463,151
ATL,1993,44,1258,555,86,153,239,127,50,29,79,113,459,218,135,102,47,16,676,16883,7204,1094,2085,3179,1621,678,354,1094,1534,6080,2826,1812,1352,617,199
ATL,1994,43,1223,464,84,152,236,123,49,25,69,109,395,184,106,77,51,17,617,15425,5757,987,1971,2958,1347,601,306,915,1474,4899,2249,1432,1038,651,220
