Team,Season,team_o_fgm,team_o_fga,team_o_ftm,team_o_fta,team_o_oreb,team_o_dreb,team_o_reb,team_o_asts,team_o_pf,team_o_stl,team_o_to,team_o_blk,team_o_3pm,team_o_pts,team_d_fgm,team_d_fga,team_d_ftm,team_d_fta,team_d_oreb,team_d_dreb,team_d_reb,team_d_asts,team_d_pf,team_d_stl,team_d_to,team_d_blk,team_d_3pm,team_d_pts,team_pace,prev_winrate,win_rate,Class
ATL,1985,3337,6964,1810,2392,1136,2288,3425,1918,2069,645,1402,549,48,8532,3390,7056,1821,2382,1261,2410,3672,2056,2029,626,1448,398,42,8644,100.16553,0.451219512195,0.609756097561,6
ATL,1986,3445,7074,1880,2537,1205,2375,3580,2017,2108,700,1479,487,53,8824,3432,7170,1856,2446,1267,2370,3637,2016,2050,685,1491,372,66,8787,102.35314,0.512195121951,0.69512195122,6
ATL,1987,3441,7085,1999,2682,1299,2441,3741,2051,2161,718,1381,472,84,8965,3259,7036,1946,2553,1199,2303,3502,1931,2081,658,1404,378,107,8571,100.9986035,0.65243902439,0.609756097561,6
ATL,1988,3439,7121,1946,2551,1289,2428,3717,2069,2101,667,1252,524,110,8934,3200,6941,1957,2539,1176,2315,3491,1946,2021,629,1318,369,132,8490,99.1641925,0.65243902439,0.634146341463,6
ATL,1989,3427,7166,2020,2575,1300,2347,3647,2026,1965,726,1267,505,97,8973,3303,7004,1876,2404,1208,2339,3547,2006,2058,663,1404,350,141,8624,99.873614,0.621951219512,0.5,5
ATL,1990,3414,7124,2055,2626,1322,2251,3574,1905,1875,767,1290,413,117,9001,3400,7029,1793,2304,1206,2280,3486,2090,2035,679,1390,368,164,8758,99.5740835,0.567073170732,0.524390243902,5
ATL,1991,3383,7121,1988,2544,1254,2303,3557,1842,1819,723,1250,363,197,8952,3503,7077,1673,2174,1115,2367,3483,2232,1997,680,1292,375,199,8878,99.4048585,0.512195121951,0.463414634146,4
ATL,1992,3420,7349,1775,2309,1261,2459,3720,1993,1769,761,1243,347,240,8857,3545,7280,1562,2037,1120,2522,3642,2244,1883,699,1272,377,234,8887,100.786105,0.493902439024,0.524390243902,5
ATL,1993,3442,7374,1582,2147,1289,2421,3710,2103,1789,799,1297,299,296,8762,3516,7208,1561,2049,1120,2479,3599,2178,1806,723,1308,378,266,8859,100.474845,0.493902439024,0.69512195122,6
ATL,1994,3319,7155,1602,2145,1270,2383,3653,2070,1716,860,1295,363,325,8566,3336,7014,1435,1912,1118,2385,3504,2043,1801,688,1414,350,278,8385,98.367616,0.609756097561,0.512195121951,5
