Team,Season,team_o_fgm,team_o_fga,team_o_ftm,team_o_fta,team_o_oreb,team_o_dreb,team_o_reb,team_o_asts,team_o_pf,team_o_stl,team_o_to,team_o_blk,team_o_3pm,team_o_pts,team_d_fgm,team_d_fga,team_d_ftm,team_d_fta,team_d_oreb,team_d_dreb,team_d_reb,team_d_asts,team_d_pf,team_d_stl,team_d_to,team_d_blk,team_d_3pm,team_d_pts,team_pace,prev_winrate,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm,coach_season_win_rate,coach_career_win_rate,win_rate,Class
ATL,1985,3337,6964,1810,2392,1136,2288,3425,1918,2069,645,1402,549,48,8532,3390,7056,1821,2382,1261,2410,3672,2056,2029,626,1448,398,42,8644,100.16553,0.451219512195,47,1186,521,69,125,194,136,43,33,85,127,428,201,149,114,15,4,714,17071,7590,997,1972,2969,1788,606,436,1128,1783,6253,2947,2048,1588,358,107,0.448696383516,0.542621448213,0.609756097561,6
ATL,1986,3445,7074,1880,2537,1205,2375,3580,2017,2108,700,1479,487,53,8824,3432,7170,1856,2446,1267,2370,3637,2016,2050,685,1491,372,66,8787,102.35314,0.512195121951,46,1114,519,70,122,192,110,43,27,76,114,427,205,140,102,21,6,706,16510,7353,1028,1992,3020,1553,603,458,1009,1716,6081,2885,1917,1459,402,124,0.504020369874,0.542621448213,0.69512195122,6
ATL,1987,3441,7085,1999,2682,1299,2441,3741,2051,2161,718,1381,472,84,8965,3259,7036,1946,2553,1199,2303,3502,1931,2081,658,1404,378,107,8571,100.9986035,0.65243902439,40,902,403,60,103,163,93,33,19,59,98,323,155,117,87,18,5,698,15653,6722,997,1954,2952,1428,532,444,967,1679,5512,2616,1788,1361,408,128,0.631868131868,0.542621448213,0.609756097561,6
ATL,1988,3439,7121,1946,2551,1289,2428,3717,2069,2101,667,1252,524,110,8934,3200,6941,1957,2539,1176,2315,3491,1946,2021,629,1318,369,132,8490,99.1641925,0.65243902439,42,1048,548,73,121,195,133,37,23,78,102,424,199,181,144,17,4,675,16064,7511,802,1657,2459,1877,639,327,1132,1635,6030,2834,2173,1697,481,144,0.63303717559,0.542621448213,0.634146341463,6
ATL,1989,3427,7166,2020,2575,1300,2347,3647,2026,1965,726,1267,505,97,8973,3303,7004,1876,2404,1208,2339,3547,2006,2058,663,1404,350,141,8624,99.873614,0.621951219512,43,1095,525,74,123,197,121,40,23,75,100,413,197,157,124,21,6,603,14611,6655,806,1664,2471,1529,531,270,984,1432,5457,2577,1752,1357,434,142,0.608217168012,0.542621448213,0.5,5
ATL,1990,3414,7124,2055,2626,1322,2251,3574,1905,1875,767,1290,413,117,9001,3400,7029,1793,2304,1206,2280,3486,2090,2035,679,1390,368,164,8758,99.5740835,0.567073170732,45,1155,551,82,137,220,111,44,23,73,99,427,205,168,133,26,7,572,14448,6806,881,1822,2703,1463,533,245,971,1348,5429,2568,2000,1541,409,127,0,0.418972332016,0.524390243902,5
ATL,1991,3383,7121,1988,2544,1254,2303,3557,1842,1819,723,1250,363,197,8952,3503,7077,1673,2174,1115,2367,3483,2232,1997,680,1292,375,199,8878,99.4048585,0.512195121951,37,909,399,62,118,181,76,33,21,51,91,331,157,99,75,26,8,510,12581,5604,814,1550,2364,1177,508,237,788,1154,4640,2202,1470,1107,294,92,0.51724137931,0.418972332016,0.463414634146,4
ATL,1992,3420,7349,1775,2309,1261,2459,3720,1993,1769,761,1243,347,240,8857,3545,7280,1562,2037,1120,2522,3642,2244,1883,699,1272,377,234,8887,100.786105,0.493902439024,49,1220,511,82,158,241,112,46,28,71,114,448,205,118,89,37,11,538,12343,5380,874,1629,2504,977,459,270,751,1173,4586,2107,1362,1014,463,151,0.48215010142,0.418972332016,0.524390243902,5
ATL,1993,3442,7374,1582,2147,1289,2421,3710,2103,1789,799,1297,299,296,8762,3516,7208,1561,2049,1120,2479,3599,2178,1806,723,1308,378,266,8859,100.474845,0.493902439024,44,1258,555,86,153,239,127,50,29,79,113,459,218,135,102,47,16,676,16883,7204,1094,2085,3179,1621,678,354,1094,1534,6080,2826,1812,1352,617,199,0.64652014652,0.531631097561,0.69512195122,6
ATL,1994,3319,7155,1602,2145,1270,2383,3653,2070,1716,860,1295,363,325,8566,3336,7014,1435,1912,1118,2385,3504,2043,1801,688,1414,350,278,8385,98.367616,0.609756097561,43,1223,464,84,152,236,123,49,25,69,109,395,184,106,77,51,17,617,15425,5757,987,1971,2958,1347,601,306,915,1474,4899,2249,1432,1038,651,220,0.64652014652,0.531631097561,0.512195121951,5
ATL,1995,3116,6859,1483,2009,1177,2347,3524,1906,1714,826,1236,430,403,8119,3082,6719,1339,1825,1104,2374,3478,1815,1768,624,1412,329,347,7851,94.486778,0.603658536585,41,1221,498,69,134,204,136,46,24,79,102,410,185,136,103,71,24,572,14058,5422,774,1594,2369,1392,537,265,865,1275,4506,2045,1448,1086,715,245,0.580392156863,0.531631097561,0.560975609756,5
ATL,1996,2985,6672,1466,1980,1143,2210,3353,1683,1759,754,1224,365,552,7990,3022,6452,1393,1892,1052,2341,3394,1787,1811,594,1382,329,449,7887,92.1025005,0.536585365854,35,859,340,55,105,161,72,29,27,53,80,273,124,92,65,72,26,488,12636,4952,756,1644,2401,1121,447,339,774,1104,4066,1856,1340,996,699,243,0.521784098255,0.531631097561,0.682926829268,6
